Tbr	Kw	Tc	Pc	Acentric factor-LK	Acentric factor-Aspen
0.923 	14.37 	960.082904	5.22361188	1.5711 	1.86413
0.924 	14.37 	964.46953	5.17816247	1.5823 	1.88384
0.926 	14.36 	968.852004	5.13349678	1.5934 	1.90446
0.927 	14.36 	973.230372	5.08959605	1.6046 	1.92598
0.929 	14.35 	977.598344	5.04657057	1.6156 	1.94719
0.930 	14.34 	982.011558	5.00555502	1.6265 	1.96795
0.932 	14.34 	986.420968	4.9652214	1.6373 	1.98849
0.934 	14.32 	993.215565	4.90564191	1.6537 	2.022
0.937 	14.30 	1002.41114	4.83000021	1.6754 	2.06756
0.940 	14.28 	1011.710297	4.75888289	1.6967 	2.11244
0.942 	14.25 	1021.057771	4.69307952	1.7175 	2.16072
0.945 	14.22 	1030.523512	4.63313094	1.7376 	2.20748
0.947 	14.18 	1040.046472	4.57781212	1.7571 	2.25627
0.949 	14.14 	1049.646328	4.52657296	1.7762 	2.30588
0.950 	14.10 	1061.4	4.47733589	1.7837 	2.33981
0.950 	14.05 	1071.863158	4.44647245	1.7880 	2.36778
0.950 	14.02 	1084.357895	4.38675207	1.7902 	2.39889
0.950 	14.03 	1097	4.30359904	1.7895 	2.43271
0.950 	14.05 	1110.452632	4.21054378	1.7879 	2.46977
0.950 	14.06 	1124.368421	4.12014677	1.7866 	2.51155
0.950 	14.05 	1135.852632	4.06469897	1.7877 	2.55002
0.950 	14.07 	1146.431579	3.99722431	1.7864 	2.58416
0.950 	14.06 	1157.294737	3.94678031	1.7874 	2.62596
0.950 	14.03 	1169.515789	3.90227411	1.7899 	2.67477

